EmployeeID,Name,Age,Department,JoinDate,Salary,City,Email,Phone
E1000,Jonathan Chapman,55,Engineering,2017-06-03,147180,Alexanderfurt,yreyes@yahoo.com,(107)895-1045x77265
E1001,Tara Hughes,45,IT,2022-01-16,116967,South Crystal,christyfuentes@gmail.com,+1-944-775-9553x9171
E1002,Keith Estrada,25,IT,2017-06-25,34570,Natashamouth,yhernandez@hotmail.com,423.844.4736
E1003,Jesse Hull,52,Finance,2017-11-25,85888,Port Danielle,jaredferguson@gmail.com,+1-787-805-9028x31693
E1004,Teresa Montoya,50,Sales,2019-03-25,44840,Lyonsside,housejessica@gmail.com,4975757190
E1005,Margaret Ray,46,Marketing,2024-09-17,44744,Richardberg,mmcfarland@hotmail.com,001-591-322-7227x80394
E1006,Samuel Allen,41,Engineering,2020-10-19,30786,Hartmouth,danielhardin@wu.org,316-984-0355
E1007,Joseph Campbell,49,Sales,2020-12-29,140718,Port Richardstad,susan62@gmail.com,001-396-482-4561x087
E1008,Fernando Hinton,36,IT,2019-06-20,144273,New Matthewburgh,jayhicks@myers.com,658.922.4607x051
E1009,Donald Lambert,39,Finance,2022-05-01,149516,East Mitchell,kenneth89@hotmail.com,(045)008-9450
E1010,Jerry Stevens,36,Engineering,2024-03-29,35969,Hartmanberg,rconner@hotmail.com,389.250.4505x43520
E1011,Michael Mitchell,59,Engineering,2020-08-29,45859,Hollyhaven,david02@hotmail.com,727-684-3711
E1012,Tasha Mora,59,HR,2018-07-25,143567,Adamshaven,xwang@parks-burns.biz,+1-282-831-4229x95267
E1013,Lisa Grimes,23,IT,2023-09-23,70121,Mariabury,thomas94@yahoo.com,777-789-1389x9730
E1014,Lindsey Bailey,33,IT,2017-01-11,74204,Clarkfort,eroberts@cain.biz,001-938-921-2535x783
E1015,Michelle Stewart,32,HR,2023-06-20,136619,Jenniferland,iwilliams@yahoo.com,+1-026-766-2648x3861
E1016,Jennifer Stevens,23,IT,2025-02-25,86185,Pamelatown,juancook@chavez.com,(296)460-3796x52015
E1017,Mario Smith,53,Engineering,2021-09-08,146848,East Ryan,sally34@patton-richardson.com,(695)286-5931x886
E1018,Amanda Ramirez,22,IT,2018-04-03,87660,North Teresaview,justin18@black-green.biz,+1-516-022-6596x40016
E1019,Donald Pacheco,43,Sales,2024-02-18,145413,Stephensmouth,pcross@andrade.com,(150)339-1076x4977
